Pokémon,Dex,Icons,Shiny,Male,Female,Type 1,Type 2,Hatch Steps,Egg Group 1,Egg Group 2,Ability 1,Ability 2,Hidden Ability,Special Ability,Egg Moves,,,,,,,,,,,,,,,,Abilities,Nature,Stat Up,Stat Down,Types,Sprite,Moves,Type,Ball,Big,Sprite,Item,Sprite,Shiny,Gender,Stat,31,<31,Event Name,Event Link
Wartortle,8,,,♂ 88.1%,♀ 11.9%,Water,----,"5,120",Monster,Water 1,Torrent,----,Rain Dish,----,Aqua Jet,Aqua Ring,Aura Sphere,Brine,Dragon Pulse,Fake Out,Flail,Foresight,Haze,Mirror Coat,Mist,Mud Sport,Muddy Water,Refresh,Water Spout,Yawn,Bad Dreams,Impish,Defense,Sp. Attack,Ground,,Vise Grip,Normal,Nest Ball,,,Apicot Berry,,,,,,,Mister Donut Chansey,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Mister_Donut.27s_Chansey
Blastoise,9,,,♂ 88.1%,♀ 11.9%,Water,----,"5,120",Monster,Water 1,Torrent,----,Rain Dish,----,Aqua Jet,Aqua Ring,Aura Sphere,Brine,Dragon Pulse,Fake Out,Flail,Foresight,Haze,Mirror Coat,Mist,Mud Sport,Muddy Water,Refresh,Water Spout,Yawn,Battery,Jolly,Speed,Sp. Attack,Ice,,Guillotine,Normal,Net Ball,,,Aspear Berry,,,,,,,Sword Shield Early Bird,https://bulbapedia.bulbagarden.net/wiki/List_of_internet_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Gigantamax_Meowth
Mega Blastoise,9,,,♂ 88.1%,♀ 11.9%,Water,----,"5,120",Monster,Water 1,Mega Launcher,----,----,----,Aqua Jet,Aqua Ring,Aura Sphere,Brine,Dragon Pulse,Fake Out,Flail,Foresight,Haze,Mirror Coat,Mist,Mud Sport,Muddy Water,Refresh,Water Spout,Yawn,Battle Armor,Lax,Defense,Sp. Defense,Normal,,Razor Wind,Normal,Quick Ball,,,Babiri Berry,,,,,,,Alexander Hoopa,https://bulbapedia.bulbagarden.net/wiki/List_of_American_region_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VI#Alexander_Hoopa
Caterpie,10,,,♂ 50%,♀ 50%,Bug,----,"3,840",Bug,----,Shield Dust,----,Run Away,----,,,,,,,,,,,,,,,,,Battle Bond,Lonely,Attack,Defense,Poison,,Swords Dance,Normal,Repeat Ball,,,Belue Berry,,,,,,,Helen Volcanion,https://bulbapedia.bulbagarden.net/wiki/List_of_American_region_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VI#Helen_Volcanion
Metapod,11,,,♂ 50%,♀ 50%,Bug,----,"3,840",Bug,----,Shed Skin,----,----,----,,,,,,,,,,,,,,,,,Beast Boost,Mild,Sp. Attack,Defense,Psychic,,Cut,Normal,Timer Ball,,,Bluk Berry,,,,,,,Eclipse,https://bulbapedia.bulbagarden.net/wiki/List_of_American_region_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VII#Shiny_Solgaleo
Butterfree,12,,,♂ 50%,♀ 50%,Bug,Flying,"3,840",Bug,----,Compound Eyes,----,Tinted Lens,----,,,,,,,,,,,,,,,,,Berserk,Modest,Sp. Attack,Attack,Rock,,Gust,Flying,Fast Ball,,,Charti Berry,,,,,,,Pokeball Plus Mew,"https://bulbapedia.bulbagarden.net/wiki/List_of_event_Pok%C3%A9mon_distributions_in_Let%27s_Go,_Pikachu!_and_Let%27s_Go,_Eevee!#Pok.C3.A9_Ball_Plus_Mew"
Weedle,13,,,♂ 50%,♀ 50%,Bug,Poison,"3,840",Bug,----,Shield Dust,----,Run Away,----,,,,,,,,,,,,,,,,,Big Pecks,Naive,Speed,Sp. Defense,Steel,,Wing Attack,Flying,Friend Ball,,,Cheri Berry,,,,,,,FALL 2010 Mew,https://bulbapedia.bulbagarden.net/wiki/List_of_Wi-Fi_English_event_Pok%C3%A9mon_distributions_(Generation_IV)#Fall_2010_Mew
Kakuna,14,,,♂ 50%,♀ 50%,Bug,Poison,"3,840",Bug,----,Shed Skin,----,----,----,,,,,,,,,,,,,,,,,Blaze,Naughty,Attack,Sp. Defense,Water,,Whirlwind,Normal,Heavy Ball,,,Chesto Berry,,,,,,,XYZ,https://bulbapedia.bulbagarden.net/wiki/List_of_American_region_Nintendo_Network_event_Pok%C3%A9mon_distributions_in_Generation_VI#Pok.C3.A9mon_the_Series:_XYZ_Pok.C3.A9mon
Beedrill,15,,,♂ 50%,♀ 50%,Bug,Poison,"3,840",Bug,----,Swarm,----,Sniper,----,,,,,,,,,,,,,,,,,Bulletproof,Quiet,Sp. Attack,Speed,----,,Fly,Flying,Level Ball,,,Chilan Berry,,,,,,,MT. Tensei Marshadow,https://bulbapedia.bulbagarden.net/wiki/List_of_American_region_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VII#Mount_Tensei_Marshadow
Mega Beedrill,15,,,♂ 50%,♀ 50%,Bug,Poison,"3,840",Bug,----,Adaptability,----,----,----,,,,,,,,,,,,,,,,,Cheek Pouch,Quirky,----,----,,,Bind,Normal,Love Ball,,,Chople Berry,,,,,,,Wishmaker Colosseum Bonus Disc Jirachi,https://bulbapedia.bulbagarden.net/wiki/List_of_game-based_Pok%C3%A9mon_distributions_in_Generation_III#Wishmaker_Jirachi
Pidgey,16,,,♂ 50%,♀ 50%,Normal,Flying,"3,840",Flying,----,Keen Eye,Tangled Feet,Big Pecks,----,Air Cutter,Brave Bird,Defog,Feint Attack,Foresight,Pursuit,Uproar,,,,,,,,,,Chlorophyll,Rash,Sp. Attack,Sp. Defense,,,Slam,Normal,Lure Ball,,,Coba Berry,,,,,,,QR Code Magearna,https://bulbapedia.bulbagarden.net/wiki/List_of_QR_Code_in-game_event_Pok%C3%A9mon_in_Generation_VII#QR_Code_Magearna
Pidgeotto,17,,,♂ 50%,♀ 50%,Normal,Flying,"3,840",Flying,----,Keen Eye,Tangled Feet,Big Pecks,----,Air Cutter,Brave Bird,Defog,Feint Attack,Foresight,Pursuit,Uproar,,,,,,,,,,Clear Body,Relaxed,Defense,Speed,,,Vine Whip,Grass,Moon Ball,,,Colbur Berry,,,,,,,Home National Dex,https://bulbapedia.bulbagarden.net/wiki/List_of_game-based_Pok%C3%A9mon_distributions_in_Generation_VIII#Magearna
Pidgeot,18,,,♂ 50%,♀ 50%,Normal,Flying,"3,840",Flying,----,Keen Eye,Tangled Feet,Big Pecks,----,Air Cutter,Brave Bird,Defog,Feint Attack,Foresight,Pursuit,Uproar,,,,,,,,,,Cloud Nine,Sassy,Sp. Defense,Speed,,,Stomp,Normal,Sport Ball,,,Cornn Berry,,,,,,,2018 Legends (June) - SM,https://bulbapedia.bulbagarden.net/wiki/List_of_American_region_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VII#Shiny_Zygarde
Mega Pidgeot,18,,,♂ 50%,♀ 50%,Normal,Flying,"3,840",Flying,----,No Guard,----,----,----,Air Cutter,Brave Bird,Defog,Feint Attack,Foresight,Pursuit,Uproar,,,,,,,,,,Color Change,Serious,----,----,,,Double Kick,Fighting,Cherish Ball,,,Custap Berry,,,,,,,NHK Jirachi,https://bulbapedia.bulbagarden.net/wiki/List_of_PAL_region_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VI#Nintendo_Hong_Kong_Jirachi
Rattata,19,,,♂ 50%,♀ 50%,Normal,----,"3,840",Field,----,Run Away,Guts,Hustle,----,Counter,Final Gambit,Flame Wheel,Fury Swipes,Last Resort,Me First,Revenge,Reversal,Screech,Uproar,,,,,,,Comatose,Timid,Speed,Attack,,,Mega Kick,Normal,Dream Ball,,,Durin Berry,,,,,,,Worlds 17 Exeggutor,https://bulbapedia.bulbagarden.net/wiki/List_of_local_event_Pok%C3%A9mon_distributions_in_Generation_VII#2017_World_Championships_Alolan_Exeggutor
Rattata-Alola,19,,,♂ 50%,♀ 50%,Dark,Normal,"3,840",Field,----,Gluttony,Hustle,Thick Fat,----,Counter,Final Gambit,Fury Swipes,Me First,Revenge,Reversal,Snatch,Stockpile,Swallow,Switcheroo,Uproar,,,,,,Competitive,*,----,----,,,Jump Kick,Fighting,Beast Ball,,,Enigma Berry,,,,,,,NA Wifi Rockruff,https://bulbapedia.bulbagarden.net/wiki/List_of_American_region_Nintendo_Network_event_Pok%C3%A9mon_distributions_in_Generation_VII#Thunder_Fang_Rockruff
Raticate,20,,,♂ 50%,♀ 50%,Normal,----,"3,840",Field,----,Run Away,Guts,Hustle,----,Counter,Final Gambit,Flame Wheel,Fury Swipes,Last Resort,Me First,Revenge,Reversal,Screech,Uproar,,,,,,,Compound Eyes,Random,----,----,,,Rolling Kick,Fighting,Poke Ball-Hisui,,,Figy Berry,,,,,,,Pokemon 20th Anniversary,https://bulbapedia.bulbagarden.net/wiki/List_of_American_region_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VI#Pok.C3.A9mon_20th_Anniversary_Mythical_Pok.C3.A9mon
Raticate-Alola,20,,,♂ 50%,♀ 50%,Dark,Normal,"3,840",Field,----,Gluttony,Hustle,Thick Fat,----,Counter,Final Gambit,Fury Swipes,Me First,Revenge,Reversal,Snatch,Stockpile,Swallow,Switcheroo,Uproar,,,,,,Contrary,,,,,,Sand Attack,Ground,,,,Ganlon Berry,,,,,,,2018 Legends (June) - USUM,https://bulbapedia.bulbagarden.net/wiki/List_of_American_region_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VII#Shiny_Zygarde
Spearow,21,,,♂ 50%,♀ 50%,Normal,Flying,"3,840",Flying,----,Keen Eye,----,Sniper,----,Astonish,Feather Dance,Feint Attack,Quick Attack,Razor Wind,Scary Face,Sky Attack,Tri Attack,Uproar,Whirlwind,,,,,,,Corrosion,,,,,,Headbutt,Normal,,,,Grepa Berry,,,,,,,Worlds 19 Aerodactyl,https://bulbapedia.bulbagarden.net/wiki/List_of_local_event_Pok%C3%A9mon_distributions_in_Generation_VII#2019_World_Championships_Aerodactyl
Fearow,22,,,♂ 50%,♀ 50%,Normal,Flying,"3,840",Flying,----,Keen Eye,----,Sniper,----,Astonish,Feather Dance,Feint Attack,Quick Attack,Razor Wind,Scary Face,Sky Attack,Tri Attack,Uproar,Whirlwind,,,,,,,Cursed Body,,,,,,Horn Attack,Normal,,,,Haban Berry,,,,,,,Worlds 18 Meloetta,https://bulbapedia.bulbagarden.net/wiki/List_of_local_event_Pok%C3%A9mon_distributions_in_Generation_VII#2018_World_Championships_Meloetta
Ekans,23,,,♂ 50%,♀ 50%,Poison,----,"5,120",Field,Dragon,Intimidate,Shed Skin,Unnerve,----,Beat Up,Disable,Iron Tail,Poison Fang,Poison Tail,Pursuit,Scary Face,Slam,Snatch,Spite,Sucker Punch,Switcheroo,,,,,Cute Charm,,,,,,Fury Attack,Normal,,,,Hondew Berry,,,,,,,NA Pokeball Vivillon,https://bulbapedia.bulbagarden.net/wiki/List_of_American_region_Nintendo_Network_event_Pok%C3%A9mon_distributions_in_Generation_VI#Summer_2014_Pok.C3.A9_Ball_Pattern_Vivillon
Arbok,24,,,♂ 50%,♀ 50%,Poison,----,"5,120",Field,Dragon,Intimidate,Shed Skin,Unnerve,----,Beat Up,Disable,Iron Tail,Poison Fang,Poison Tail,Pursuit,Scary Face,Slam,Snatch,Spite,Sucker Punch,Switcheroo,,,,,Damp,,,,,,Horn Drill,Normal,,,,Iapapa Berry,,,,,,,Fancy Vivillon (JPN distro),https://bulbapedia.bulbagarden.net/wiki/List_of_Japanese_region_Nintendo_Network_event_Pok%C3%A9mon_distributions_in_Generation_VI#GTS_Fancy_Pattern_Vivillon
Pikachu,25,,,♂ 50%,♀ 50%,Electric,----,"2,560",Field,Fairy,Static,----,Lightning Rod,----,Bestow,Bide,Charge,Disarming Voice,Double Slap,Electric Terrain,Encore,Endure,Fake Out,Flail,Lucky Chant,Present,Reversal,Thunder Punch,Tickle,Volt Tackle,Dancer,,,,,,Tackle,Normal,,,,Jaboca Berry,,,,,,,Bank Celebi,https://bulbapedia.bulbagarden.net/wiki/List_of_game-based_Pok%C3%A9mon_distributions_in_Generation_VI#Pok.C3.A9mon_Bank_Celebi
Raichu,26,,,♂ 50%,♀ 50%,Electric,----,"2,560",Field,Fairy,Static,----,Lightning Rod,----,Bestow,Bide,Charge,Disarming Voice,Double Slap,Electric Terrain,Encore,Endure,Fake Out,Flail,Lucky Chant,Present,Reversal,Thunder Punch,Tickle,Volt Tackle,Dark Aura,,,,,,Body Slam,Normal,,,,Kasib Berry,,,,,,,OCT2014 Diancie,https://bulbapedia.bulbagarden.net/wiki/List_of_American_region_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VI#Diancie
Raichu-Alola,26,,,♂ 50%,♀ 50%,Electric,Psychic,"2,560",Field,Fairy,Surge Surfer,----,----,----,Bestow,Bide,Charge,Disarming Voice,Double Slap,Electric Terrain,Encore,Endure,Fake Out,Flail,Lucky Chant,Present,Reversal,Thunder Punch,Tickle,Volt Tackle,Dazzling,,,,,,Wrap,Normal,,,,Kebia Berry,,,,,,,2019 JPN Birthday,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pikachu_2
Sandshrew,27,,,♂ 50%,♀ 50%,Ground,----,"5,120",Field,----,Sand Veil,----,Sand Rush,----,Chip Away,Counter,Endure,Flail,Metal Claw,Mud Shot,Night Slash,Rock Climb,Rototiller,,,,,,,,Defeatist,,,,,,Take Down,Normal,,,,Kee Berry,,,,,,,2018 Birthday,"https://bulbapedia.bulbagarden.net/wiki/List_of_event_Pok%C3%A9mon_distributions_in_Let%27s_Go,_Pikachu!_and_Let%27s_Go,_Eevee!#Pok.C3.A9mon_Center_Birthday_Chansey"
Sandshrew-Alola,27,,,♂ 50%,♀ 50%,Ice,Steel,"5,120",Field,----,Snow Cloak,----,Slush Rush,----,Amnesia,Chip Away,Counter,Crush Claw,Curse,Endure,Flail,Night Slash,,,,,,,,,Defiant,,,,,,Thrash,Normal,,,,Kelpsy Berry,,,,,,,Secret Club Krabby,"https://bulbapedia.bulbagarden.net/wiki/List_of_event_Pok%C3%A9mon_distributions_in_Let%27s_Go,_Pikachu!_and_Let%27s_Go,_Eevee!#Secret_Shiny_Krabby"
Sandslash,28,,,♂ 50%,♀ 50%,Ground,----,"5,120",Field,----,Sand Veil,----,Sand Rush,----,Chip Away,Counter,Endure,Flail,Metal Claw,Mud Shot,Night Slash,Rock Climb,Rototiller,,,,,,,,Delta Stream,,,,,,Double-Edge,Normal,,,,Lansat Berry,,,,,,,Bullseye,"https://bulbapedia.bulbagarden.net/wiki/List_of_event_Pok%C3%A9mon_distributions_in_Let%27s_Go,_Pikachu!_and_Let%27s_Go,_Eevee!#Pikachu"
Sandslash-Alola,28,,,♂ 50%,♀ 50%,Ice,Steel,"5,120",Field,----,Snow Cloak,----,Slush Rush,----,Amnesia,Chip Away,Counter,Crush Claw,Curse,Endure,Flail,Night Slash,,,,,,,,,Desolate Land,,,,,,Tail Whip,Normal,,,,Leppa Berry,,,,,,,Spooky 2014 Pumpkaboo,https://bulbapedia.bulbagarden.net/wiki/List_of_American_region_Nintendo_Network_event_Pok%C3%A9mon_distributions_in_Generation_VI#Spooky_2014_Super_Size_Pumpkaboo
Nidoran ♀,29,,,♂ 0%,♀ 100%,Poison,----,"5,120",Monster,Field,Poison Point,Rivalry,Hustle,----,Beat Up,Charm,Counter,Disable,Endure,Focus Energy,Iron Tail,Poison Tail,Pursuit,Skull Bash,Supersonic,Take Down,Venom Drench,,,,Disguise,,,,,,Poison Sting,Poison,,,,Liechi Berry,,,,,,,Gen 7 Hatchu,https://bulbapedia.bulbagarden.net/wiki/List_of_American_region_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VII#Ash.27s_Pikachu
Nidorina,30,,,♂ 0%,♀ 100%,Poison,----,"5,120",Undiscovered,----,Poison Point,Rivalry,Hustle,----,Beat Up,Charm,Counter,Disable,Endure,Focus Energy,Iron Tail,Poison Tail,Pursuit,Skull Bash,Supersonic,Take Down,Venom Drench,,,,Download,,,,,,Twineedle,Bug,,,,Lum Berry,,,,,,,Happy Meal Meowth,https://bulbapedia.bulbagarden.net/wiki/List_of_PAL_region_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VI#Happy_Meal_Meowth
Nidoqueen,31,,,♂ 0%,♀ 100%,Poison,Ground,"5,120",Undiscovered,----,Poison Point,Rivalry,Sheer Force,----,Beat Up,Charm,Counter,Disable,Endure,Focus Energy,Iron Tail,Poison Tail,Pursuit,Skull Bash,Supersonic,Take Down,Venom Drench,,,,Drizzle,,,,,,Pin Missile,Bug,,,,Mago Berry,,,,,,,Snorlium Z Munchlax,https://bulbapedia.bulbagarden.net/wiki/List_of_American_region_Nintendo_Network_event_Pok%C3%A9mon_distributions_in_Generation_VII#Snorlium_Z_Munchlax
Nidoran ♂,32,,,♂ 100%,♀ 0%,Poison,----,"5,120",Monster,Field,Poison Point,Rivalry,Hustle,----,Amnesia,Beat Up,Confusion,Counter,Disable,Endure,Head Smash,Iron Tail,Poison Tail,Sucker Punch,Supersonic,Take Down,Venom Drench,,,,Drought,,,,,,Leer,Normal,,,,Magost Berry,,,,,,,Bullseye Charizard,https://bulbapedia.bulbagarden.net/wiki/List_of_American_region_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VII#Bullseye_Charizard
Nidorino,33,,,♂ 100%,♀ 0%,Poison,----,"5,120",Monster,Field,Poison Point,Rivalry,Hustle,----,Amnesia,Beat Up,Confusion,Counter,Disable,Endure,Head Smash,Iron Tail,Poison Tail,Sucker Punch,Supersonic,Take Down,Venom Drench,,,,Dry Skin,,,,,,Bite,Dark,,,,Maranga Berry,,,,,,,Pokemon Dragon King Tournament Corsola,https://bulbapedia.bulbagarden.net/wiki/List_of_Japanese_region_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VII#Hajime_Syacho.27s_Corsola
Nidoking,34,,,♂ 100%,♀ 0%,Poison,Ground,"5,120",Monster,Field,Poison Point,Rivalry,Sheer Force,----,Amnesia,Beat Up,Confusion,Counter,Disable,Endure,Head Smash,Iron Tail,Poison Tail,Sucker Punch,Supersonic,Take Down,Venom Drench,,,,Early Bird,,,,,,Growl,Normal,,,,Micle Berry,,,,,,,Line Rotom,https://bulbapedia.bulbagarden.net/wiki/List_of_Japanese_region_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VII#LINE_Rotom
Clefairy,35,,,♂ 25%,♀ 75%,Fairy,Normal,"2,560",Fairy,----,Cute Charm,Magic Guard,Friend Guard,----,Amnesia,Aromatherapy,Belly Drum,Covet,Fake Tears,Heal Pulse,Mimic,Misty Terrain,Present,Splash,Tickle,Wish,,,,,Effect Spore,,,,,,Roar,Normal,,,,Nanab Berry,,,,,,,US Ilex Celebi,https://bulbapedia.bulbagarden.net/wiki/List_of_American_region_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VII#Ilex_Forest_Celebi
Clefable,36,,,♂ 25%,♀ 75%,Fairy,Normal,"2,560",Fairy,----,Cute Charm,Magic Guard,Unaware,----,Amnesia,Aromatherapy,Belly Drum,Covet,Fake Tears,Heal Pulse,Mimic,Misty Terrain,Present,Splash,Tickle,Wish,,,,,Electric Surge,,,,,,Sing,Normal,,,,Nomel Berry,,,,,,,Ultra Shiny Poipole (KOR),https://bulbapedia.bulbagarden.net/wiki/List_of_Korean_region_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VII#Ultra_Shiny_Poipole
Vulpix,37,,,♂ 25%,♀ 75%,Fire,----,"5,120",Field,----,Flash Fire,----,Drought,----,Disable,Flail,Flare Blitz,Heat Wave,Howl,Hypnosis,Power Swap,Secret Power,Spite,Tail Slap,,,,,,,Emergency Exit,,,,,,Supersonic,Normal,,,,Occa Berry,,,,,,,Ultra Shiny Poipole (US),https://bulbapedia.bulbagarden.net/wiki/List_of_American_region_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VII#Ultra_Poipole
Vulpix-Alola,37,,,♂ 25%,♀ 75%,Ice,----,"5,120",Field,----,Snow Cloak,----,Snow Warning,----,Agility,Charm,Disable,Encore,Flail,Freeze-Dry,Howl,Hypnosis,Moonblast,Power Swap,Secret Power,Spite,Tail Slap,,,,Fairy Aura,,,,,,Sonic Boom,Normal,,,,Oran Berry,,,,,,,Ultra Shiny Poipole (JPN),https://bulbapedia.bulbagarden.net/wiki/List_of_Japanese_region_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VII#Ultra_Shiny_Poipole
Ninetales,38,,,♂ 25%,♀ 75%,Fire,----,"5,120",Field,----,Flash Fire,----,Drought,----,Disable,Flail,Flare Blitz,Heat Wave,Howl,Hypnosis,Power Swap,Secret Power,Spite,Tail Slap,,,,,,,Filter,,,,,,Disable,Normal,,,,Pamtre Berry,,,,,,,US Aether Silvally,https://bulbapedia.bulbagarden.net/wiki/List_of_American_region_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VII#Aether_Silvally
